,loss,mse,mae,mape,rmse
0,0.01622055657207966,0.01232132688164711,0.08474744111299515,129189.4609375,0.11100146919488907
1,0.012680127285420895,0.008190196938812733,0.07154660671949387,84374.75,0.09049970656633377
2,0.01089723501354456,0.0071993800811469555,0.06574780493974686,83620.5234375,0.08484915643930435
3,0.009481978602707386,0.0066224392503499985,0.06255307048559189,102848.6953125,0.08137837052345276
4,0.008235995657742023,0.0060898312367498875,0.059450164437294006,100409.921875,0.07803736627101898
5,0.007331772707402706,0.005973496939986944,0.058597367256879807,99828.78125,0.07728840410709381
6,0.006237109657377005,0.005220096092671156,0.05359538272023201,82921.2421875,0.07225023210048676
7,0.005582227371633053,0.005141836125403643,0.05321967974305153,89402.8828125,0.07170659303665161
8,0.004873367492109537,0.00477439584210515,0.05158580094575882,84595.546875,0.06909699738025665
9,0.004176786169409752,0.004265540279448032,0.04800712689757347,80805.546875,0.06531110405921936
10,0.0035998020321130753,0.0038543567061424255,0.04529383033514023,90599.25,0.06208346411585808
11,0.0030231995042413473,0.0033092249650508165,0.04235570505261421,76579.3125,0.057525862008333206
12,0.002649963367730379,0.003070165403187275,0.04059772938489914,71447.6875,0.05540907382965088
13,0.0022992147132754326,0.002784810960292816,0.039084888994693756,63678.36328125,0.05277130752801895
14,0.001979990629479289,0.002489626407623291,0.036787986755371094,70380.4609375,0.049896154552698135
15,0.0017708013765513897,0.002338431077077985,0.03561869263648987,59523.421875,0.04835732653737068
16,0.0015550431562587619,0.0021203167270869017,0.03379384055733681,63318.08984375,0.046046897768974304
17,0.0014333120780065656,0.002039574785158038,0.0332292802631855,57856.8515625,0.0451616533100605
18,0.0013715963577851653,0.0020365777891129255,0.03304600343108177,53705.52734375,0.045128460973501205
19,0.0012827537721022964,0.001951597980223596,0.03243473544716835,61336.25390625,0.044176895171403885
20,0.001206231419928372,0.0018701838562265038,0.03190368413925171,58186.640625,0.043245621025562286
21,0.0011074186768382788,0.001723400317132473,0.030272969976067543,57917.7265625,0.04151385650038719
22,0.001139278057962656,0.00183492514770478,0.031079711392521858,58214.4921875,0.0428360253572464
23,0.001020275056362152,0.0016314443200826645,0.029400872066617012,56824.5234375,0.040391143411397934
24,0.0010784026235342026,0.0017767497338354588,0.030610082671046257,64892.72265625,0.04215150699019432
25,0.0009542800253257155,0.0015515746781602502,0.028689805418252945,57514.22265625,0.03939003124833107
26,0.0009655870962888002,0.0015939984004944563,0.028995275497436523,40478.1953125,0.03992490842938423
27,0.0009893549140542746,0.0016634323401376605,0.029837099835276604,44855.953125,0.04078519716858864
28,0.0009311722824349999,0.0015607192181050777,0.028737753629684448,53599.23828125,0.039505939930677414
29,0.0008928031311370432,0.0014963382855057716,0.028068872168660164,48456.34765625,0.03868253156542778
30,0.0008678866433911026,0.0014585399767383933,0.027803711593151093,43362.18359375,0.03819083422422409
31,0.0008468342712149024,0.0014276700094342232,0.027365632355213165,50914.84375,0.03778452053666115
32,0.0008828539866954088,0.0015105789061635733,0.027845844626426697,45889.41015625,0.03886616602540016
33,0.0007986692944541574,0.0013495414750650525,0.02670966275036335,49831.984375,0.036736104637384415
34,0.0007663613650947809,0.0012930382508784533,0.02589551731944084,41205.9140625,0.03595884144306183
35,0.0007578916265629232,0.0012818408431485295,0.025830458849668503,37861.78515625,0.03580280393362045
36,0.0007197206141427159,0.0012100079329684377,0.0250658318400383,44917.21875,0.03478516638278961
37,0.0007665642770007253,0.0013100708601996303,0.02600831538438797,45856.7578125,0.036194901913404465
38,0.0007307578343898058,0.0012438723351806402,0.025362079963088036,48932.58984375,0.035268574953079224
39,0.0007218177779577672,0.0012315578060224652,0.025248145684599876,41720.5703125,0.035093557089567184
40,0.0006882443558424711,0.0011674119159579277,0.024726686999201775,51546.40625,0.03416740894317627
41,0.0006240729708224535,0.0010420625330880284,0.023264536634087563,35353.07421875,0.03228099271655083
42,0.0006289832526817918,0.0010542150121182203,0.023388894274830818,43590.65625,0.03246867656707764
43,0.0006256431806832552,0.0010503082303330302,0.02342526614665985,39263.55859375,0.0324084609746933
44,0.0006491126259788871,0.0011005753185600042,0.02405376173555851,39876.8984375,0.033174920827150345
45,0.0006047842325642705,0.0010154879419133067,0.023142851889133453,35213.87109375,0.03186672180891037
46,0.0006024960312061012,0.0010128018911927938,0.023084674030542374,39100.69921875,0.03182454779744148
47,0.0006114443531259894,0.0010329775977879763,0.02333526313304901,44341.578125,0.03213996812701225
48,0.0006062083411961794,0.001025784877128899,0.023008937016129494,40502.0625,0.032027874141931534
49,0.0005729032563976943,0.0009611342684365809,0.022400103509426117,33481.4921875,0.031002165749669075
