,loss,mse,mae,mape,rmse,val_loss,val_mse,val_mae,val_mape,val_rmse
0,0.13287466764450073,0.23388268053531647,0.2843070924282074,128804.9609375,0.4836141765117645,0.09266412258148193,0.0732024610042572,0.1996576488018036,102160.4296875,0.27055951952934265
1,0.09240712970495224,0.07499038428068161,0.20788633823394775,147793.21875,0.2738437056541443,0.07529903203248978,0.043238427489995956,0.16529804468154907,266584.4375,0.2079385221004486
2,0.0893034040927887,0.07378022372722626,0.19844038784503937,138146.015625,0.2716251611709595,0.07198943942785263,0.04176051914691925,0.16475634276866913,282212.875,0.20435389876365662
3,0.08463898301124573,0.06980010867118835,0.1917259395122528,148348.6875,0.26419711112976074,0.06781984865665436,0.03892308473587036,0.1502004861831665,223166.234375,0.1972893476486206
4,0.07801292091608047,0.062186967581510544,0.18972615897655487,173786.953125,0.2493731528520584,0.06390243023633957,0.036870185285806656,0.1432310938835144,193815.5625,0.1920161098241806
5,0.07344355434179306,0.05887075513601303,0.18601082265377045,187601.859375,0.24263297021389008,0.06161946803331375,0.03815572336316109,0.1466696709394455,157402.125,0.19533489644527435
6,0.06948348879814148,0.05671301111578941,0.18017254769802094,169738.90625,0.23814493417739868,0.0582352876663208,0.037136245518922806,0.1416701227426529,159820.75,0.19270767271518707
7,0.06842883676290512,0.06034652516245842,0.18234103918075562,150290.25,0.24565529823303223,0.056474797427654266,0.0393424890935421,0.1532437801361084,157064.234375,0.19834941625595093
8,0.06364727765321732,0.05648357421159744,0.18194571137428284,185906.984375,0.23766273260116577,0.0530637763440609,0.03824129328131676,0.15081264078617096,160774.078125,0.19555380940437317
9,0.06082768365740776,0.056508541107177734,0.18379898369312286,196992.140625,0.2377152442932129,0.05004149302840233,0.03781554475426674,0.14650598168373108,149606.3125,0.19446219503879547
10,0.055984679609537125,0.05246774107217789,0.1791423261165619,196210.125,0.2290583699941635,0.04727199673652649,0.037876855581998825,0.14336052536964417,174038.3125,0.1946197748184204
11,0.05388806015253067,0.05387227237224579,0.1827327460050583,194813.984375,0.23210400342941284,0.04423615708947182,0.03734871372580528,0.14615853130817413,194059.0625,0.1932581514120102
12,0.05147501081228256,0.05425165221095085,0.18102796375751495,195230.421875,0.232919842004776,0.043004363775253296,0.03993736207485199,0.15074552595615387,164993.09375,0.19984334707260132
13,0.04885029420256615,0.0538695752620697,0.17768721282482147,189501.5,0.23209819197654724,0.03896643593907356,0.036634307354688644,0.14273500442504883,189185.484375,0.1914009004831314
